epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,4,,,,0.03285108506679535
0,4,,0.12306307256221771,,
1,9,,,,0.004577180836349726
1,9,,0.036741048097610474,,
2,14,,,,0.008799875155091286
2,14,,0.02114802412688732,,
3,19,,,,0.00622156634926796
3,19,,0.011705446057021618,,
4,24,,,,0.004228526726365089
4,24,,0.011519589461386204,,
5,29,,,,0.0037290435284376144
5,29,,0.007248947396874428,,
6,34,,,,0.002892138436436653
6,34,,0.00712180370464921,,
7,39,,,,0.0028147497214376926
7,39,,0.005911560263484716,,
8,44,,,,0.0027176763396710157
8,44,,0.004882973153144121,,
9,49,,,0.006227620877325535,
9,49,,,,0.0023989356122910976
9,49,,0.004086579196155071,,
10,50,,,,0.0023989356122910976
10,50,0.0031241602264344692,,,
